	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
1518	LOC100890169	2.70E-41	1.619275482	1	0.54	5.90E-37	NA	NA
6	delta	5.87E-72	1.602508615	0.887	0.154	1.28E-67	NA	NA
24363	LOC590448	1.04E-77	1.535733662	0.69	0.082	2.28E-73	uncharacterized protein LOC590448	spu:590448
13	isg12	6.43E-43	1.525070368	1	0.54	1.40E-38	NA	NA
3	Alx1	5.40E-91	1.477782913	0.972	0.134	1.18E-86	NA	NA
17212	LOC575449	2.76E-39	1.419277161	1	0.95	6.02E-35	late histone H2A.2.1	spu:575449
22534	LOC586069	1.03E-31	1.383463833	0.901	0.446	2.25E-27	LOW QUALITY PROTEIN: uncharacterized protein LOC586069	spu:586069
18351	LOC577531	1.14E-38	1.370108822	0.958	0.56	2.49E-34	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531
1928	LOC100890824	5.55E-61	1.352128029	0.958	0.2	1.21E-56	RNA binding protein fox-1 homolog 3 isoform X1	spu:100890824
22389	LOC585718	2.20E-88	1.342544366	0.521	0.04	4.80E-84	uncharacterized protein LOC585718 isoform X1	spu:585718
25038	LOC591980	3.37E-41	1.263990279	0.704	0.155	7.35E-37	protein Wnt-16	spu:591980
24520	LOC590815	6.48E-60	1.256964295	0.775	0.137	1.42E-55	forkhead box protein N3	spu:590815
28137	LOC764368	1.36E-30	1.209972486	0.958	0.831	2.96E-26	40S ribosomal protein S8	spu:764368
26324	LOC752328	1.28E-34	1.157547088	0.93	0.475	2.80E-30	NA	NA
6994	LOC105444259	3.48E-163	1.157356869	0.592	0.026	7.60E-159	uncharacterized protein LOC105444259	spu:105444259
21893	LOC584503	1.41E-34	1.154000921	0.944	0.475	3.07E-30	"spectrin beta chain, non-erythrocytic 1 isoform X1"	spu:584503
26258	LOC752135	5.70E-24	1.14626148	0.831	0.457	1.24E-19	NA	NA
27260	LOC755970	5.40E-31	1.145793346	0.944	0.681	1.18E-26	NA	NA
8103	LOC105447187	1.50E-73	1.124907272	0.62	0.07	3.27E-69	uncharacterized protein LOC105447187	spu:105447187
21126	LOC582795	2.90E-29	1.11226079	0.873	0.418	6.32E-25	protein CASC1 isoform X1	spu:582795
16519	LOC373246	1.27E-36	1.102556703	1	0.859	2.77E-32	60S ribosomal protein L18	spu:373246
20199	LOC580957	3.15E-32	1.101866775	0.986	0.82	6.87E-28	60S ribosomal protein L27	spu:580957
21805	LOC584322	2.74E-43	1.097186696	0.93	0.295	5.99E-39	cytoplasmic polyadenylation element-binding protein 2 isoform X2	spu:584322
4811	LOC105438574	2.46E-43	1.072269282	0.887	0.214	5.38E-39	formin-like protein 14	spu:105438574
25094	LOC592098	8.30E-28	1.071873389	0.901	0.565	1.81E-23	60S ribosomal protein L18a	spu:592098
17301	LOC575628	6.92E-41	1.068280291	0.761	0.175	1.51E-36	cyclophilin 1 precursor	spu:575628
24268	LOC590220	2.35E-22	1.059316472	0.817	0.514	5.13E-18	NA	NA
24959	LOC591809	5.08E-24	1.055595921	0.887	0.531	1.11E-19	60S ribosomal protein L35	spu:591809
8214	LOC105447505	4.05E-35	1.04841572	0.493	0.089	8.84E-31	uncharacterized protein LOC105447505 isoform X4	spu:105447505
19200	LOC579087	9.91E-56	1.040506239	0.606	0.089	2.16E-51	teneurin-3 isoform X1	spu:579087
5187	LOC105439514	1.27E-75	1.038839915	0.563	0.055	2.76E-71	uncharacterized protein CG13380-like	spu:105439514
23093	LOC587430	1.36E-20	1.030001551	0.831	0.556	2.97E-16	"ATP synthase subunit O, mitochondrial"	spu:587430
24842	LOC591582	8.58E-33	1.028737305	0.986	0.861	1.87E-28	probable 60S ribosomal protein L37-A isoform X1	spu:591582
18709	LOC578151	8.98E-32	1.007051943	0.972	0.826	1.96E-27	NA	NA
18072	LOC577040	1.65E-32	1.005661303	0.986	0.844	3.61E-28	40S ribosomal protein S16	spu:577040
25337	LOC592626	1.13E-29	1.003166788	0.986	0.876	2.47E-25	60S ribosomal protein L34-B	spu:592626
18994	LOC578693	6.02E-26	0.999188481	0.93	0.696	1.31E-21	lymphocyte-specific helicase	spu:578693
20634	LOC581803	1.53E-23	0.998072846	0.873	0.631	3.33E-19	60S ribosomal protein L11	spu:581803
28373	rps15a	1.01E-31	0.992621314	0.986	0.864	2.21E-27	NA	NA
28159	LOC764436	1.03E-25	0.98774929	0.93	0.746	2.26E-21	NA	NA
22099	LOC585040	7.39E-28	0.980760021	0.732	0.238	1.61E-23	proprotein convertase subtilisin/kexin type 7	spu:585040
17862	LOC576658	1.21E-26	0.96917231	0.958	0.77	2.63E-22	40S ribosomal protein S20	spu:576658
19953	LOC580462	4.02E-25	0.964555716	0.901	0.632	8.77E-21	LOW QUALITY PROTEIN: 40S ribosomal protein S10	spu:580462
22010	LOC584812	9.87E-24	0.964283039	0.887	0.577	2.15E-19	40S ribosomal protein S7	spu:584812
28366	Nanos2	2.38E-301	0.958191569	0.38	0.003	5.19E-297	NA	NA
4053	LOC105436651	6.10E-25	0.952394042	0.93	0.854	1.33E-20	60S ribosomal protein L14-like isoform X1	spu:105436651
28372	rps14	2.87E-20	0.949194637	0.831	0.58	6.26E-16	NA	NA
17816	LOC576570	2.42E-50	0.948618657	0.817	0.168	5.29E-46	ELAV-like protein 3 isoform X4	spu:576570
23391	LOC588157	3.56E-23	0.941915125	0.915	0.76	7.76E-19	60S ribosomal protein L23a	spu:588157
25384	LOC592738	6.18E-20	0.935543875	0.746	0.407	1.35E-15	40S ribosomal protein S24	spu:592738
23129	LOC587526	3.20E-23	0.934350111	0.915	0.651	6.99E-19	RING finger protein 11	spu:587526
26718	LOC753658	1.37E-21	0.931196771	0.887	0.615	2.99E-17	NA	NA
25611	LOC593222	3.27E-18	0.926603791	0.789	0.529	7.15E-14	NA	NA
