	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
17205	LOC575449	1.29E-282	2.369565016	0.946	0.129	2.82E-278	late histone H2A.2.1	spu:575449
16562	LOC373342	1.56E-115	2.338958962	0.876	0.32	3.40E-111	"histone H1, early embryonic"	spu:373342
4422	LOC105437610	2.19E-43	2.198813017	0.548	0.22	4.78E-39	"histone H2B.2, embryonic-like"	spu:105437610
5476	LOC105440219	3.24E-56	2.113403587	0.651	0.266	7.08E-52	"histone H2B.2, embryonic"	spu:105440219
21131	LOC582810	5.46E-168	1.878697816	0.914	0.22	1.19E-163	uncharacterized protein LOC582810 isoform X1	spu:582810
19558	LOC579744	0	1.767570861	0.661	0.009	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744
21357	LOC583286	1.46E-133	1.739173246	0.887	0.265	3.18E-129	CTD small phosphatase-like protein 2 isoform X1	spu:583286
3670	LOC100893744	7.57E-302	1.640826643	0.527	0.029	1.65E-297	NA	NA
25639	LOC593337	0	1.622415967	0.575	0.027	0	NA	NA
19308	LOC579293	2.50E-103	1.524729422	0.989	0.656	5.45E-99	"histone H3, embryonic"	spu:579293
22386	LOC585718	0	1.468691254	0.409	0.011	0	uncharacterized protein LOC585718 isoform X1	spu:585718
20431	LOC581409	1.63E-102	1.429924486	0.919	0.342	3.56E-98	nucleolar RNA helicase 2	spu:581409
1839	LOC100890687	5.32E-41	1.418158675	0.72	0.414	1.16E-36	late histone H2A.2.2-like	spu:100890687
3352	LOC100893240	6.71E-93	1.359903378	0.661	0.167	1.46E-88	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240
17296	LOC575632	5.14E-83	1.31806997	0.78	0.269	1.12E-78	ribosome biogenesis regulatory protein homolog	spu:575632
25294	LOC592550	1.01E-85	1.312425048	0.914	0.425	2.20E-81	WD repeat-containing protein 43	spu:592550
25967	LOC594186	2.22E-105	1.311787654	1	0.787	4.84E-101	small ubiquitin-related modifier 3	spu:594186
18346	LOC577531	5.58E-75	1.29390185	0.871	0.453	1.22E-70	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531
22738	LOC586560	7.53E-81	1.28991629	0.925	0.513	1.64E-76	uncharacterized protein LOC586560	spu:586560
19673	LOC579948	6.58E-71	1.265485794	0.806	0.346	1.44E-66	ubinuclein-2	spu:579948
17499	LOC576005	6.90E-78	1.253912374	0.962	0.664	1.51E-73	voltage-dependent anion-selective channel protein 2	spu:576005
17935	LOC576796	8.77E-59	1.246939047	0.806	0.406	1.91E-54	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796
17555	LOC576113	3.18E-133	1.240360909	0.505	0.064	6.94E-129	ankyrin repeat and LEM domain-containing protein 1	spu:576113
293	LOC100888193	7.01E-68	1.23708933	0.763	0.317	1.53E-63	uncharacterized protein LOC100888193	spu:100888193
24695	LOC591266	6.84E-75	1.23472214	0.833	0.367	1.49E-70	cystathionine beta-synthase	spu:591266
27789	LOC763214	2.54E-65	1.228362797	0.715	0.277	5.54E-61	NA	NA
26801	LOC753921	3.42E-62	1.219094936	0.785	0.39	7.47E-58	protein FAM50A isoform X1	spu:753921
19627	LOC579871	5.47E-78	1.197998025	0.962	0.612	1.19E-73	DNA-binding protein HEXBP isoform X1	spu:579871
2870	LOC100892388	2.43E-72	1.197808956	0.683	0.225	5.31E-68	uncharacterized protein LOC100892388 isoform X2	spu:100892388
17942	LOC576803	3.92E-97	1.197554711	0.995	0.838	8.56E-93	60S ribosomal protein L22	spu:576803
23819	LOC589199	8.89E-57	1.1947057	0.812	0.421	1.94E-52	centromere protein C	spu:589199
4965	LOC105438992	6.58E-98	1.185211833	0.527	0.095	1.44E-93	protein maelstrom homolog	spu:105438992
25822	LOC593799	9.55E-69	1.173710068	0.892	0.487	2.08E-64	protein CDV3 homolog	spu:593799
20476	LOC581507	1.24E-68	1.173149713	0.548	0.143	2.72E-64	structural maintenance of chromosomes protein 5 isoform X1	spu:581507
25064	LOC592046	5.51E-79	1.154958268	0.978	0.801	1.20E-74	terminal nucleotidyltransferase 4B	spu:592046
28084	LOC764213	9.58E-68	1.146937624	0.731	0.276	2.09E-63	tyrosine-protein phosphatase non-receptor type 9	spu:764213
25982	LOC594218	7.50E-73	1.137366665	0.527	0.124	1.64E-68	nuclear speckle splicing regulatory protein 1	spu:594218
23517	LOC588503	1.45E-115	1.130109345	1	0.974	3.16E-111	heterogeneous nuclear ribonucleoprotein R isoform X1	spu:588503
23800	LOC589170	2.30E-59	1.118091653	0.871	0.501	5.01E-55	inhibitor of growth protein 4 isoform X1	spu:589170
