	Row.names	p_val	avg_logFC	pct.1	pct.2	p_val_adj	keggList..spu..	ID
17204	LOC575449	5.63E-131	2.282319549	0.928	0.285	1.23E-126	late histone H2A.2.1	spu:575449
16562	LOC373342	3.99E-70	2.180308113	0.946	0.724	8.71E-66	"histone H1, early embryonic"	spu:373342
25635	LOC593337	1.26E-117	2.113047747	0.675	0.131	2.75E-113	NA	NA
21129	LOC582810	5.40E-131	1.904722165	0.813	0.187	1.18E-126	uncharacterized protein LOC582810 isoform X1	spu:582810
19556	LOC579744	0	1.759039874	0.608	0.019	0	LOW QUALITY PROTEIN: histone H1.1	spu:579744
21355	LOC583286	1.94E-84	1.680921141	0.789	0.281	4.24E-80	CTD small phosphatase-like protein 2 isoform X1	spu:583286
3669	LOC100893744	2.85E-96	1.640603641	0.572	0.107	6.21E-92	NA	NA
22736	LOC586560	1.93E-73	1.532122012	0.886	0.482	4.21E-69	uncharacterized protein LOC586560	spu:586560
24691	LOC591266	5.18E-64	1.438178377	0.741	0.289	1.13E-59	cystathionine beta-synthase	spu:591266
5475	LOC105440219	6.23E-19	1.393833303	0.717	0.602	1.36E-14	"histone H2B.2, embryonic"	spu:105440219
27784	LOC763214	3.42E-54	1.393242415	0.681	0.279	7.47E-50	NA	NA
20429	LOC581409	1.16E-58	1.386398236	0.801	0.388	2.54E-54	nucleolar RNA helicase 2	spu:581409
18733	LOC578215	3.71E-49	1.359622829	0.614	0.233	8.09E-45	G kinase-anchoring protein 1	spu:578215
24356	LOC590448	4.76E-119	1.351155613	0.416	0.041	1.04E-114	uncharacterized protein LOC590448	spu:590448
4421	LOC105437610	1.39E-08	1.338258753	0.542	0.456	0.000303165	"histone H2B.2, embryonic-like"	spu:105437610
22384	LOC585718	1.99E-85	1.27968764	0.355	0.042	4.35E-81	uncharacterized protein LOC585718 isoform X1	spu:585718
18344	LOC577531	1.09E-53	1.268621708	0.807	0.444	2.37E-49	CCR4-NOT transcription complex subunit 3 isoform X1	spu:577531
16589	LOC373382	3.13E-60	1.260148415	0.867	0.532	6.83E-56	mitochondrial ATP synthase alpha subunit precursor	spu:373382
19671	LOC579948	4.53E-42	1.219176469	0.608	0.252	9.90E-38	ubinuclein-2	spu:579948
17940	LOC576803	2.13E-71	1.213617497	0.976	0.82	4.65E-67	60S ribosomal protein L22	spu:576803
16573	LOC373354	2.13E-29	1.208236773	0.777	0.615	4.65E-25	"histone H1-beta, late embryonic"	spu:373354
16701	LOC548622	4.80E-52	1.201667023	0.88	0.629	1.05E-47	ATP synthase beta subunit	spu:548622
4360	LOC105437488	2.32E-42	1.196067687	0.741	0.427	5.07E-38	uncharacterized protein LOC105437488	spu:105437488
25978	LOC594218	4.08E-49	1.18008271	0.542	0.171	8.90E-45	nuclear speckle splicing regulatory protein 1	spu:594218
25818	LOC593799	4.03E-57	1.179216115	0.916	0.621	8.80E-53	protein CDV3 homolog	spu:593799
17933	LOC576796	2.39E-40	1.177413167	0.795	0.511	5.23E-36	nucleolar and spindle-associated protein 1-A isoform X2	spu:576796
17295	LOC575632	2.54E-53	1.174689121	0.687	0.265	5.53E-49	ribosome biogenesis regulatory protein homolog	spu:575632
3352	LOC100893240	1.84E-44	1.16003969	0.488	0.15	4.01E-40	structural maintenance of chromosomes protein 6 isoform X1	spu:100893240
20940	LOC582369	6.58E-44	1.138336453	0.536	0.185	1.44E-39	double-stranded RNA-binding protein Staufen homolog 2 isoform X1	spu:582369
18373	LOC577596	1.23E-41	1.122842471	0.922	0.881	2.69E-37	ribonucleoside-diphosphate reductase subunit M2	spu:577596
25289	LOC592550	3.80E-35	1.117626087	0.717	0.45	8.30E-31	WD repeat-containing protein 43	spu:592550
4964	LOC105438992	6.85E-60	1.114933696	0.446	0.096	1.50E-55	protein maelstrom homolog	spu:105438992
6449	LOC105442790	7.55E-49	1.10405006	0.404	0.094	1.65E-44	NA	NA
17498	LOC576005	3.56E-39	1.094183854	0.843	0.686	7.78E-35	voltage-dependent anion-selective channel protein 2	spu:576005
20480	LOC581517	1.87E-42	1.088867386	0.813	0.539	4.08E-38	ataxin-2-like protein isoform X2	spu:581517
20912	LOC582325	2.49E-54	1.082693417	0.904	0.623	5.44E-50	ADP-ribosylation factor 1	spu:582325
23814	LOC589199	1.52E-35	1.082493984	0.783	0.526	3.31E-31	centromere protein C	spu:589199
20529	LOC581608	9.05E-34	1.07426086	0.699	0.413	1.98E-29	NA	NA
7529	LOC105445697	1.07E-33	1.062489251	0.446	0.156	2.33E-29	NA	NA
25963	LOC594186	4.43E-69	1.05658076	0.982	0.881	9.67E-65	small ubiquitin-related modifier 3	spu:594186
2870	LOC100892388	2.26E-34	1.051981663	0.53	0.215	4.93E-30	uncharacterized protein LOC100892388 isoform X2	spu:100892388
18924	LOC578567	2.41E-40	1.048096663	0.861	0.624	5.27E-36	transcriptional regulator ATRX homolog isoform X1	spu:578567
19162	LOC579034	5.70E-31	1.03737093	0.536	0.238	1.24E-26	transcriptional activator protein Pur-beta isoform X1	spu:579034
19192	LOC579087	2.35E-52	1.036169734	0.373	0.073	5.12E-48	teneurin-3 isoform X1	spu:579087
