"chr"	"start"	"end"	"strand"	"pvalue"	"qvalue"	"meth.diff"
"1554"	"NC_035780.1"	3220227	3220227	"+"	3.97866102791441e-12	9.15775546124967e-10	81.3387423935091
"1619"	"NC_035780.1"	3829778	3829778	"+"	2.60972897068497e-17	2.41687600758408e-14	-88.3720930232558
"2473"	"NC_035780.1"	12215505	12215505	"+"	3.86632439438271e-14	1.59550583064755e-11	84.5238095238095
"4761"	"NC_035780.1"	22378472	22378472	"+"	1.322905843725e-20	4.58098124651182e-17	75.7575757575758
"6648"	"NC_035780.1"	26669468	26669468	"+"	3.76401976176256e-25	4.99640989195911e-21	-75.792188651437
"7304"	"NC_035780.1"	29474021	29474021	"+"	3.38048231135238e-18	4.34254565745067e-15	80.3240740740741
"7806"	"NC_035780.1"	32003150	32003150	"+"	5.32741899433249e-25	6.06144585081929e-21	-81.8407960199005
"8562"	"NC_035780.1"	34794155	34794155	"+"	6.32266181057939e-11	9.87386514898392e-09	82.1428571428571
"11545"	"NC_035780.1"	60366200	60366200	"+"	5.6232980879574e-16	3.71717489240188e-13	-76.9230769230769
"11828"	"NC_035780.1"	62479377	62479377	"+"	3.0301419150615e-15	1.66437959086339e-12	76.8510258697591
"12598"	"NC_035781.1"	600193	600193	"+"	1.44186824506966e-17	1.49139357262414e-14	84.6153846153846
"13493"	"NC_035781.1"	2536975	2536975	"+"	3.20564701148772e-17	2.83681231804981e-14	81.8181818181818
"14496"	"NC_035781.1"	5633170	5633170	"+"	7.86388233446157e-14	3.01114096088988e-11	83.8709677419355
"15627"	"NC_035781.1"	10580016	10580016	"+"	4.54696073815549e-13	1.39823076993231e-10	-84.375
"17130"	"NC_035781.1"	20447121	20447121	"+"	3.62170906683079e-09	3.18729598861151e-07	76
"21240"	"NC_035781.1"	52094883	52094883	"+"	9.74188325916349e-11	1.43949967368989e-08	-76.1904761904762
"27541"	"NC_035782.1"	24117306	24117306	"+"	1.88195048784145e-15	1.05554624233884e-12	-84.1666666666667
"28112"	"NC_035782.1"	27448532	27448532	"+"	4.76144356031949e-11	7.72350734121907e-09	-77.8904665314402
"28113"	"NC_035782.1"	27448544	27448544	"+"	1.30596600879444e-11	2.57458908264644e-09	-78.5037878787879
"28114"	"NC_035782.1"	27448553	27448553	"+"	1.49078740352753e-12	4.0801876833257e-10	-77.9761904761905
"29511"	"NC_035782.1"	38854154	38854154	"+"	1.99165093554715e-10	2.62189481665998e-08	75.6521739130435
"29997"	"NC_035782.1"	44688276	44688276	"+"	5.95281706568535e-16	3.82589195143914e-13	77.7777777777778
"32883"	"NC_035782.1"	57647486	57647486	"+"	7.2095026368619e-17	6.04420401102829e-14	77.5568181818182
"32918"	"NC_035782.1"	57775896	57775896	"+"	7.07557872067759e-17	6.04420401102829e-14	-79.2290249433107
"35537"	"NC_035782.1"	68618848	68618848	"+"	5.2719005929137e-20	1.382479466747e-16	-88.3333333333333
"35933"	"NC_035782.1"	70130296	70130296	"+"	3.27655335816275e-19	6.52401075702253e-16	94
"35944"	"NC_035782.1"	70270216	70270216	"+"	8.64865182973171e-30	3.44410063888297e-25	89.5777178796047
"36123"	"NC_035782.1"	72601739	72601739	"+"	4.64447428387369e-16	3.16160868428622e-13	81.2366737739872
"37552"	"NC_035783.1"	11102557	11102557	"+"	8.34438347918494e-14	3.12012552331291e-11	-77.1428571428572
"39986"	"NC_035783.1"	19554211	19554211	"+"	1.27162926426781e-13	4.48135645388536e-11	-75.6066411238825
"40020"	"NC_035783.1"	19558114	19558114	"+"	5.54766551354878e-19	1.00418795246838e-15	76.6456582633053
"40528"	"NC_035783.1"	19967544	19967544	"+"	2.82048847638118e-18	3.68257762140537e-15	-83.0615942028986
"40529"	"NC_035783.1"	19967546	19967546	"+"	1.97558019389442e-18	2.80972652563592e-15	-83.1410825199645
"40531"	"NC_035783.1"	19967582	19967582	"+"	8.1116393297943e-17	6.592345670474e-14	-75.4577464788732
"40532"	"NC_035783.1"	19967590	19967590	"+"	3.09681011368219e-19	6.45039236712064e-16	-79.9101412066752
"40534"	"NC_035783.1"	19967596	19967596	"+"	2.03495684273633e-18	2.84339871293583e-15	-79.3541738234284
"40551"	"NC_035783.1"	19967922	19967922	"+"	1.64359608231794e-15	9.28396297422694e-13	-80.1790281329923
"40552"	"NC_035783.1"	19967929	19967929	"+"	3.08131025394095e-14	1.3123547202578e-11	-76.3002364066194
"40553"	"NC_035783.1"	19967935	19967935	"+"	1.49003389672819e-15	8.59952526724406e-13	-77.8657968313141
"40555"	"NC_035783.1"	19967941	19967941	"+"	1.34383095780435e-16	1.05391979448503e-13	-81.4285714285714
"40578"	"NC_035783.1"	19968179	19968179	"+"	1.61697775251834e-11	3.04453584957804e-09	-76.1047463175123
"40580"	"NC_035783.1"	19968215	19968215	"+"	2.69488660494162e-18	3.57722832048399e-15	-81.656346749226
"40581"	"NC_035783.1"	19968220	19968220	"+"	1.88361752809301e-12	4.89075456467861e-10	-75.4725472547255
"40585"	"NC_035783.1"	19968577	19968577	"+"	5.01342807892912e-11	8.08286369499103e-09	-75.4109589041096
"42352"	"NC_035783.1"	23690352	23690352	"+"	4.07764380029096e-16	2.79968204058405e-13	-80.3600654664484
"42713"	"NC_035783.1"	25440374	25440374	"+"	1.82489154559681e-10	2.45512024466384e-08	76.4285714285714
"43256"	"NC_035783.1"	32195446	32195446	"+"	4.36628289570015e-17	3.77990999076833e-14	-89.0029325513197
"43323"	"NC_035783.1"	32500880	32500880	"+"	6.8985246938198e-19	1.1690034161658e-15	76.5942028985507
"44556"	"NC_035783.1"	42293783	42293783	"+"	1.11162038759867e-23	1.10668476500651e-19	91.1111111111111
"45898"	"NC_035783.1"	49072487	49072487	"+"	6.53522784498804e-12	1.41056070858001e-09	-80.1125703564728
"48670"	"NC_035784.1"	3956067	3956067	"+"	1.37351809717547e-14	6.51152210542481e-12	-78.7234042553192
"51177"	"NC_035784.1"	25930707	25930707	"+"	1.62906250386668e-21	6.82875547457502e-18	-78.9153915391539
"53119"	"NC_035784.1"	40598227	40598227	"+"	1.33151169543784e-15	7.74072846648795e-13	-77.3426573426573
"53501"	"NC_035784.1"	42036909	42036909	"+"	4.90391748585674e-30	3.44410063888297e-25	92.4528301886792
"54733"	"NC_035784.1"	47679768	47679768	"+"	7.72256241196506e-23	4.95192923744632e-19	-88.8888888888889
"55404"	"NC_035784.1"	51103767	51103767	"+"	4.70793195595631e-14	1.88423261072752e-11	-90.9090909090909
"55504"	"NC_035784.1"	51463788	51463788	"+"	4.25411219068253e-13	1.31324769771436e-10	88.1818181818182
"55505"	"NC_035784.1"	51463792	51463792	"+"	8.81697734260546e-15	4.4247459303778e-12	87.4545454545455
"55799"	"NC_035784.1"	52435638	52435638	"+"	1.85043279325103e-12	4.86393881167233e-10	86.8286445012788
"55804"	"NC_035784.1"	52527856	52527856	"+"	1.01240081808214e-14	4.96851718595973e-12	-84.5925925925926
"56198"	"NC_035784.1"	52733991	52733991	"+"	1.19120435210027e-11	2.37777518736046e-09	80.3534303534304
"57053"	"NC_035784.1"	54014871	54014871	"+"	2.89661601887639e-16	2.05982497900408e-13	76.3565891472868
"57248"	"NC_035784.1"	54357375	54357375	"+"	1.15690866289566e-13	4.13191734248447e-11	92.1428571428571
"59012"	"NC_035784.1"	60843303	60843303	"+"	1.43197759901419e-23	1.2672174065009e-19	-85.2826510721248
"59665"	"NC_035784.1"	63921308	63921308	"+"	9.48863509234395e-14	3.45077819650117e-11	76.3157894736842
"62271"	"NC_035784.1"	73238269	73238269	"+"	1.57551661337577e-18	2.4148044091104e-15	90.625
"62381"	"NC_035784.1"	73552446	73552446	"+"	1.16573685573154e-08	8.78381044203818e-07	75.6521739130435
"65615"	"NC_035784.1"	92841803	92841803	"+"	6.00678336135515e-19	1.04001966809466e-15	85.1447555766493
"66057"	"NC_035784.1"	94522335	94522335	"+"	1.73736115167006e-26	4.1721460243338e-22	76.0869565217391
"66675"	"NC_035784.1"	96568350	96568350	"+"	4.97468572802407e-15	2.55617961175137e-12	-87.6666666666667
"67461"	"NC_035785.1"	8554780	8554780	"+"	8.08277272586352e-23	4.95192923744632e-19	-89.1812865497076
"68253"	"NC_035785.1"	16101840	16101840	"+"	2.05731469693465e-21	8.1927206709115e-18	97.0588235294118
"68286"	"NC_035785.1"	16138837	16138837	"+"	1.92954049013562e-18	2.79414295510349e-15	-88.969696969697
"68287"	"NC_035785.1"	16138840	16138840	"+"	6.39200093491162e-18	7.37811048040168e-15	-85.1851851851852
"68288"	"NC_035785.1"	16138843	16138843	"+"	6.41668607355088e-14	2.49295446842802e-11	-87.8205128205128
"68717"	"NC_035785.1"	27336893	27336893	"+"	5.9362562515051e-11	9.3069277540834e-09	-80.6451612903226
"69605"	"NC_035785.1"	35350288	35350288	"+"	8.26084057231233e-15	4.19065591417283e-12	-88.3204633204633
"71485"	"NC_035786.1"	147584	147584	"+"	5.07624339514319e-20	1.382479466747e-16	-87.2727272727273
"71557"	"NC_035786.1"	648639	648639	"+"	1.57662311235433e-18	2.4148044091104e-15	80.889748549323
"71712"	"NC_035786.1"	791550	791550	"+"	5.9520104279195e-09	4.9638394566e-07	75.4545454545455
"72305"	"NC_035786.1"	14797028	14797028	"+"	5.72618959628441e-19	1.01346936353354e-15	-82.3073945025164
"73034"	"NC_035786.1"	34047374	34047374	"+"	6.90242916039867e-16	4.36303631785571e-13	86.5325077399381
"73714"	"NC_035786.1"	38675836	38675836	"+"	1.58762288770319e-15	9.09682763735425e-13	-75.1273344651952
"76452"	"NC_035786.1"	56646259	56646259	"+"	3.25885685993905e-15	1.76565303574779e-12	-77.9220779220779
"76476"	"NC_035786.1"	56662384	56662384	"+"	4.66502505382572e-13	1.42354397694501e-10	76.9230769230769
"77974"	"NC_035787.1"	26128445	26128445	"+"	2.66618910793434e-12	6.46522790709637e-10	-75.6756756756757
"78223"	"NC_035787.1"	28817552	28817552	"+"	7.13854007801431e-17	6.04420401102829e-14	-76
"79750"	"NC_035787.1"	42751300	42751300	"+"	8.52493433354648e-20	2.12177085245736e-16	-82.5576519916143
"80680"	"NC_035787.1"	46122572	46122572	"+"	7.09600736966295e-12	1.51517445957095e-09	87.4608150470219
"80856"	"NC_035787.1"	47171325	47171325	"+"	2.0953765369043e-26	4.1721460243338e-22	-92.3395445134576
"82311"	"NC_035787.1"	52293353	52293353	"+"	4.36317236393384e-19	8.27390432087021e-16	84.1687552213868
"82348"	"NC_035787.1"	52722996	52722996	"+"	2.56744944596555e-12	6.27251510574449e-10	77.7257525083612
"82454"	"NC_035787.1"	52778714	52778714	"+"	1.0722012874162e-16	8.62578332625687e-14	-76.2229350441059
"82653"	"NC_035787.1"	53040642	53040642	"+"	2.72242748308689e-12	6.53093936461161e-10	80.6797853309481
"83612"	"NC_035787.1"	59191822	59191822	"+"	8.25327709382329e-21	2.98786630367659e-17	-86.7924528301887
"83641"	"NC_035787.1"	59270034	59270034	"+"	3.80708274120455e-19	7.39547160525885e-16	-85.3658536585366
"83683"	"NC_035787.1"	59603320	59603320	"+"	4.0808471671456e-15	2.15243872989233e-12	80.1215805471125
"84782"	"NC_035787.1"	61757357	61757357	"+"	1.01685021728206e-14	4.96851718595973e-12	-79.3103448275862
"86011"	"NC_035787.1"	74487631	74487631	"+"	5.49672726910919e-18	6.43802548379777e-15	89.5238095238095
"86458"	"NC_035788.1"	7713026	7713026	"+"	1.31837414512385e-14	6.28752350001066e-12	-76.2857142857143
"87496"	"NC_035788.1"	25363339	25363339	"+"	1.05434800078459e-19	2.46980392714391e-16	-85.0488021295475
"87672"	"NC_035788.1"	32682950	32682950	"+"	5.89547666870362e-10	6.67914720161469e-08	-80.8373590982287
"88544"	"NC_035788.1"	46197776	46197776	"+"	9.60566608579012e-18	1.07752300685092e-14	75.6642279553331
"88744"	"NC_035788.1"	46300990	46300990	"+"	5.02333214881147e-18	5.97137722653007e-15	-91.6666666666667
"89375"	"NC_035788.1"	48591919	48591919	"+"	7.58125715180868e-16	4.75439129361182e-13	80.4347826086957
"90032"	"NC_035788.1"	53709575	53709575	"+"	3.78935774052861e-16	2.67081974971315e-13	-77.928916191312
"90478"	"NC_035788.1"	56112682	56112682	"+"	1.87061924069218e-12	4.88475709908366e-10	-81.3919413919414
"90479"	"NC_035788.1"	56112730	56112730	"+"	2.80781591900338e-14	1.20969562842404e-11	-77.130476649013
"91414"	"NC_035788.1"	63480928	63480928	"+"	1.60691242881053e-15	9.14158684027437e-13	78.0487804878049
"93456"	"NC_035788.1"	75769788	75769788	"+"	2.28080800747607e-14	1.01482956975496e-11	-86.3636363636364
"93458"	"NC_035788.1"	75769807	75769807	"+"	9.06859162588531e-10	9.61739211724267e-08	-80.564263322884
"94152"	"NC_035788.1"	80835987	80835987	"+"	4.1475083386645e-18	5.16136662113222e-15	-75.6844850065189
"94441"	"NC_035788.1"	85723115	85723115	"+"	1.50830461116268e-11	2.86020514400118e-09	-82.8205128205128
"94442"	"NC_035788.1"	85723126	85723126	"+"	9.20754282683438e-12	1.89003321735454e-09	-82.7586206896552
"94443"	"NC_035788.1"	85723128	85723128	"+"	2.4636552446742e-14	1.08407361466269e-11	-90.0462962962963
"94445"	"NC_035788.1"	85723165	85723165	"+"	2.84077718768376e-08	1.89893470651125e-06	-75.5244755244755
"95113"	"NC_035788.1"	91875529	91875529	"+"	4.42356154972909e-12	1.00949474492658e-09	-76.1904761904762
"95843"	"NC_035789.1"	855586	855586	"+"	2.9803923624522e-14	1.27619756778515e-11	77.6515151515152
